Name	Date	Wavelength	Expected	Acutal	A-E
78584	4/9/2019 10:35 AM	440	0.056700	0.050950	-0.005750
78584	4/9/2019 10:35 AM	465	0.053400	0.048174	-0.005226
78584	4/9/2019 10:35 AM	546	0.051500	0.048243	-0.003257
78584	4/9/2019 10:35 AM	590	0.051200	0.048034	-0.003166
78584	4/9/2019 10:35 AM	635	0.051000	0.048134	-0.002866
52790	4/9/2019 10:36 AM	440	0.166000	0.161540	-0.004460
52790	4/9/2019 10:36 AM	465	0.150200	0.147239	-0.002961
52790	4/9/2019 10:36 AM	546	0.152900	0.150666	-0.002234
52790	4/9/2019 10:36 AM	590	0.165400	0.162560	-0.002840
52790	4/9/2019 10:36 AM	635	0.173900	0.171509	-0.002391
79082	4/9/2019 10:38 AM	440	0.565100	0.559984	-0.005116
79082	4/9/2019 10:38 AM	465	0.525200	0.523401	-0.001799
79082	4/9/2019 10:38 AM	546	0.522700	0.522090	-0.000610
79082	4/9/2019 10:38 AM	590	0.556600	0.553672	-0.002928
79082	4/9/2019 10:38 AM	635	0.564200	0.562363	-0.001837
79074	4/9/2019 10:39 AM	440	1.023600	1.016326	-0.007274
79074	4/9/2019 10:39 AM	465	0.962800	0.961338	-0.001462
79074	4/9/2019 10:39 AM	546	0.999800	0.998537	-0.001263
79074	4/9/2019 10:39 AM	590	1.094900	1.087118	-0.007782
79074	4/9/2019 10:39 AM	635	1.074600	1.069318	-0.005282
78606	4/9/2019 10:41 AM	440	2.124300	2.103096	-0.021204
78606	4/9/2019 10:41 AM	465	1.976400	1.970464	-0.005936
78606	4/9/2019 10:41 AM	546	1.997100	1.981107	-0.015993
78606	4/9/2019 10:41 AM	590	2.036600	2.019418	-0.017182
78606	4/9/2019 10:41 AM	635	1.926700	1.908291	-0.018409
76347	4/9/2019 10:42 AM	440	2.796500	2.751707	-0.044793
76347	4/9/2019 10:42 AM	465	2.598500	2.583789	-0.014711
76347	4/9/2019 10:42 AM	546	2.571900	2.523767	-0.048133
76347	4/9/2019 10:42 AM	590	2.650100	2.584490	-0.065610
76347	4/9/2019 10:42 AM	635	2.496900	2.439691	-0.057209
76358	4/9/2019 10:43 AM	440	3.299600	3.169338	-0.130262
76358	4/9/2019 10:43 AM	465	3.066300	2.970366	-0.095934
76358	4/9/2019 10:43 AM	546	3.037700	2.873028	-0.164672
76358	4/9/2019 10:43 AM	590	3.131700	2.954392	-0.177308
76358	4/9/2019 10:43 AM	635	2.950800	2.874531	-0.076269
78584	4/9/2019 10:45 AM	440	0.056700	0.050024	-0.006676
78584	4/9/2019 10:45 AM	465	0.053400	0.047104	-0.006296
78584	4/9/2019 10:45 AM	546	0.051500	0.046857	-0.004643
78584	4/9/2019 10:45 AM	590	0.051200	0.046595	-0.004605
78584	4/9/2019 10:45 AM	635	0.051000	0.046434	-0.004566
52790	4/9/2019 10:46 AM	440	0.166000	0.160300	-0.005700
52790	4/9/2019 10:46 AM	465	0.150200	0.145978	-0.004222
52790	4/9/2019 10:46 AM	546	0.152900	0.149555	-0.003345
52790	4/9/2019 10:46 AM	590	0.165400	0.161410	-0.003990
52790	4/9/2019 10:46 AM	635	0.173900	0.170387	-0.003513
79082	4/9/2019 10:48 AM	440	0.565100	0.560521	-0.004579
79082	4/9/2019 10:48 AM	465	0.525200	0.523597	-0.001603
79082	4/9/2019 10:48 AM	546	0.522700	0.522497	-0.000203
79082	4/9/2019 10:48 AM	590	0.556600	0.554512	-0.002088
79082	4/9/2019 10:48 AM	635	0.564200	0.562896	-0.001304
79074	4/9/2019 10:50 AM	440	1.023600	1.013219	-0.010381
79074	4/9/2019 10:50 AM	465	0.962800	0.958933	-0.003867
79074	4/9/2019 10:50 AM	546	0.999800	0.994073	-0.005727
79074	4/9/2019 10:50 AM	590	1.094900	1.084171	-0.010729
79074	4/9/2019 10:50 AM	635	1.074600	1.066501	-0.008099
76237	4/9/2019 10:51 AM	440	1.624200	1.610699	-0.013501
76237	4/9/2019 10:51 AM	465	1.511700	1.507407	-0.004293
76237	4/9/2019 10:51 AM	546	1.527200	1.520386	-0.006814
76237	4/9/2019 10:51 AM	590	1.557100	1.545681	-0.011419
76237	4/9/2019 10:51 AM	635	1.473500	1.465268	-0.008232
78584	4/9/2019 10:52 AM	440	0.056700	0.049056	-0.007644
78584	4/9/2019 10:52 AM	465	0.053400	0.046194	-0.007206
78584	4/9/2019 10:52 AM	546	0.051500	0.045321	-0.006179
78584	4/9/2019 10:52 AM	590	0.051200	0.045137	-0.006063
78584	4/9/2019 10:52 AM	635	0.051000	0.044887	-0.006113
52790	4/9/2019 10:53 AM	440	0.166000	0.160183	-0.005817
52790	4/9/2019 10:53 AM	465	0.150200	0.145858	-0.004342
52790	4/9/2019 10:53 AM	546	0.152900	0.149082	-0.003818
52790	4/9/2019 10:53 AM	590	0.165400	0.161086	-0.004314
52790	4/9/2019 10:53 AM	635	0.173900	0.169794	-0.004106
79082	4/9/2019 11:02 AM	440	0.565100	0.561977	-0.003123
79082	4/9/2019 11:02 AM	465	0.525200	0.525442	0.000242
79082	4/9/2019 11:02 AM	546	0.522700	0.525067	0.002367
79082	4/9/2019 11:02 AM	590	0.556600	0.557163	0.000563
79082	4/9/2019 11:02 AM	635	0.564200	0.565982	0.001782
79074	4/9/2019 11:04 AM	440	1.023600	1.015264	-0.008336
79074	4/9/2019 11:04 AM	465	0.962800	0.960593	-0.002207
79074	4/9/2019 11:04 AM	546	0.999800	0.997864	-0.001936
79074	4/9/2019 11:04 AM	590	1.094900	1.086741	-0.008159
79074	4/9/2019 11:04 AM	635	1.074600	1.070006	-0.004594
76237	4/9/2019 11:05 AM	440	1.624200	1.613202	-0.010998
76237	4/9/2019 11:05 AM	465	1.511700	1.508927	-0.002773
76237	4/9/2019 11:05 AM	546	1.527200	1.523297	-0.003903
76237	4/9/2019 11:05 AM	590	1.557100	1.549035	-0.008065
76237	4/9/2019 11:05 AM	635	1.473500	1.469380	-0.004120
76237	4/9/2019 11:13 AM	440	1.624200	1.611945	-0.012255
76237	4/9/2019 11:13 AM	465	1.511700	1.507543	-0.004157
76237	4/9/2019 11:13 AM	546	1.527200	1.517701	-0.009499
76237	4/9/2019 11:13 AM	590	1.557100	1.542718	-0.014382
76237	4/9/2019 11:13 AM	635	1.473500	1.464278	-0.009222
