Date	Expected	Acutal	A-E
4/10/2019 9:49 AM	416.019989	417.000000	0.980011
4/10/2019 9:49 AM	452.019989	451.000000	-1.019989
4/10/2019 9:49 AM	467.779999	472.000000	4.220001
4/10/2019 9:49 AM	485.200012	485.000000	-0.200012
4/10/2019 9:49 AM	536.419983	538.000000	1.580017
4/10/2019 9:49 AM	640.409973	642.000000	1.590027
